,id,name,image,league,logo,party_id,seat_id,el_status,vote,center
517,1626,A. K. M. Fakhruddin Razi,1770827448.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,235,,,
518,1627,Md. Atiqur Rahman Khan,1770827470.jpg,Islami Andolon Bangladesh,1769852567.png,37,235,,,
519,1628,Md. Abdullah,1770438089.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,235,,,
520,1629,Mohammad Momin Ali,1770827493.jpg,Independent,1704551148.jpg,32,235,,,
521,1630,Rokeya Akter,1770827516.jpg,Insaniyat Biplob Bangladesh,1770207181.jpg,116,235,,,
522,1631,Abdus Salam Azad,1770438150.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,236,,,
523,1632,Ashiq Mahmud,1770827556.jpg,Islamic Front Bangladesh,1703164401.jpg,26,236,,,
524,1633,K. M. Billal,1770827579.jpg,Islami Andolon Bangladesh,1769852567.png,37,236,,,
525,1634,Majedul Islam,1770827604.jpg,National Citizen Party (NCP),1770212308.jpg,63,236,,,
526,1635,Md. Noman Mia,1770827630.jpg,Jatiya Party (JaPa),1702196200.png,5,236,,,
527,1636,Anis Mollah,1770827687.jpg,Bangladesh Labour Party,1770206037.jpg,114,237,,,
528,1637,Noor Hossain Noorani,1770827712.jpg,Bangladesh Khelafat Majlish,1769854518.jpg,50,237,,,
529,1638,Md. Arifuzzaman (Didar),1770827737.jpg,Jatiya Party (JaPa),1702196200.png,5,237,,,
530,1639,Md. Kamruzzaman,1770438267.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,237,,,
531,1640,Md. Mohiuddin,1770827777.jpg,Independent,1704551148.jpg,32,237,,,
532,1641,Sheikh Md. Kamal Hossain,1770827846.jpg,Communist Party of Bangladesh,1770214086.png,47,237,,,
533,1642,Sheikh Md. Shimul,1770827884.jpg,Revolutionary Workers Party of Bangladesh,1769856467.jpg,85,237,,,
534,1643,Suman Dewan,1770827927.jpg,Islami Andolon Bangladesh,1769852567.png,37,237,,,
535,685,Khandaker Abu Ashfaq,1770840074.jfif,Bangladesh Nationalist Party (BNP),1769852771.webp,38,238,,5689,8
536,688,Mohammad Nazrul Islam,1770840127.jfif,Bangladesh Jamaat-e-Islami,1769852416.png,36,238,,5599,8
537,684,Antara Selima Huda,1770840005.jfif,Independent,1704551148.jpg,32,238,,,8
538,686,Nurul Islam,1770840094.jfif,Islami Andolon Bangladesh,1769852567.png,37,238,,,8
539,687,Md. Nasir Uddin Molla,1770840119.jfif,Jatiya Party (JaPa),1702196200.png,5,238,,,8
540,689,Sheikh Md. Ali,1770840141.jfif,Bangladesh Labour Party,1770206037.jpg,114,238,,,8
541,796,Md. Abdul Haque,1770840205.,Bangladesh Jamaat-e-Islami,1769852416.png,36,239,,,
542,797,Md. Amanullah Aman,1770212946.webp,Bangladesh Nationalist Party (BNP),1769852771.webp,38,239,,,
543,798,Md. Jahirul Islam,1770840213.,Islami Andolon Bangladesh,1769852567.png,37,239,,,
544,805,Gayeshwar Chandra Roy,1770216683.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,240,,,
545,806,Mojibur Howlader,1770840291.,Bangladesh Socialist Party (BASAD),1769854432.png,48,240,,,
546,807,Muhammad Rawshan Yazdani,1770840297.,Gono Forum,1770206382.jpg,115,240,,,
547,808,Md. Faruk,1770840302.,Jatiya Party (JaPa),1702196200.png,5,240,,,
548,809,Md. Bacchu Bhuiyan,1770840309.,Gonoshonghoti Andolon,1770213041.jpg,90,240,,,
549,810,Md. Monir Hossain,1770840316.,Independent,1704551148.jpg,32,240,,,
550,811,Md. Shahinur Islam,1770840323.,Bangladesh Jamaat-e-Islami,1769852416.png,36,240,,,
551,812,Md. Sazzad,1770840332.,Gono Odhikar Parishad (GOP),1770210478.jpeg,39,240,,,
552,813,Md. Sultan Ahmad Khan,1770840341.,Islami Andolon Bangladesh,1769852567.png,37,240,,,
553,814,Mohammad Jafar,1770840350.,Bangladesh Congress,1703160912.jpg,14,240,,,
554,815,Tanvir Ahmed,1770216875.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,241,,,
555,816,Md. Abul Kalam Azad,1770840397.,Janata Party,1769856417.jpg,84,241,,,
556,817,Md. Zakir Hossain,1770840403.,Bangladesh Socialist Party (BASAD),1769854432.png,48,241,,,
557,818,Mohammad Firoz Alam,1770840407.,Communist Party of Bangladesh,1770214086.png,47,241,,,
558,819,Mohammad Mizanur Rahman,1770840418.,Independent,1704551148.jpg,32,241,,,
559,820,Sahel Ahmed Sohel,1770840425.,Bangladesh Cultural Liberation Front (Muktijot),1769855708.png,71,241,,,
560,821,Syed Zainul Abedin,1770840431.,Bangladesh Jamaat-e-Islami,1769852416.png,36,241,,,
561,822,Syed Md. Mosaddeq Billah,1770840438.,Islami Andolon Bangladesh,1769852567.png,37,241,,,
562,823,Tofazzal Hossain Mostafa,1770840526.jfif,Communist Party of Bangladesh,1770214086.png,47,242,,,
563,825,Mir Abdus Sabur,1770840548.jfif,Jatiya Party (JP),1769856887.png,94,242,,,
564,826,Md. Ibrahim,1770840561.jfif,Islami Andolon Bangladesh,1769852567.png,37,242,,,
565,827,Md. Golam Azam,1770840567.jfif,Bangladesh Labour Party,1770206037.jpg,114,242,,,
566,828,Md. Taifur Rahman Rahi,1770840572.jfif,Bangladesh Cultural Liberation Front (Muktijot),1769855708.png,71,242,,,
567,829,Md. Nabi Ullah,1770217190.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,242,,,
568,830,Md. Saiful Alam,1770840580.jfif,Bangladesh Congress,1703160912.jpg,14,242,,,
569,831,Mohammad Kamal Hossain,1770840601.jfif,Bangladesh Jamaat-e-Islami,1769852416.png,36,242,,,
570,832,Md. Humayun Kabir,1770840606.,Liberal Democratic Party (LDP),1770209895.jpg,89,242,,,
571,833,Shahinur Akter Sumi,1770840613.,Bangladesh Socialist Party (Marxist),1769853841.jpg,44,242,,,
572,834,Syed Mohammad Ibrahim,1770840624.jfif,Gono Odhikar Parishad (GOP),1770210478.jpeg,39,242,,,
