id,seat_no,seat_name,division_id,total_voter,male_voter,female_voter,total_center,result_id,seats_area,yes,no,total_candidate
218,287,Chittagong-10,2,"492,444","249,784","242,631",148,,"Chittagong City Corporation (8 No. Sholokbahar Ward, 11No. South Kattali Ward, 12 No. Saraipara Ward, 13 No. Pahartali Ward, 14 No. Lalkhan Bazar Ward,  24 No. North Agrabad Ward, 25 No. Rampur Ward,  26 No. North Halishahar Ward)",,,9
220,288,Chittagong-11,2,"495,278","252,333","242,942",152,,"Chittagong City Corporation (27 No. South Agrabad Ward, 28 No. Pathantuli Ward, 29 No.West Motherbari Ward, 30 No. East Motherbari Ward, 36 No. Gosaildanga Ward, 37 No. North Madhya Halishahar Ward, 38 No. South Central Halishahar Ward, 39 No. South Halishahar Ward, 40 No. North Patenga Ward, 41 No. South Patenga Ward)",,,11
221,289,Chittagong-12,2,"352,695","184,254","168,440",108,,Patiya,,,8
224,290,Chittagong-13,2,"395,246","207,714","187,532",118,,"Karnaphuli, Anwara",,,7
225,291,Chittagong-14,2,"313,513","165,847","147,665",100,,"Chandanish, Satkania (Khagria Union, Keochia Union, Kaliaish Union, Dharmapur Union, Bazalia Union, Purangor Union)",,,8
226,292,Chittagong-15,2,"506,059","270,915","235,144",157,,"Satkania (Charati Union, Nalua Union, Kanchana Union, Amalish Union, Aochia Union, Madarsha Union, Dhemsa Union, West Dhemsha Union, Chadaha Union, Satkania Union, Sonakania Union), Lohagara",,,3
227,293,Chittagong-16,2,"411,274","219,982","191,287",114,,Banskhali,,,7
228,294,Cox's Bazar-1,2,"540,490","290,291","250,198",158,,"Chakaria, Pekua",,,3
229,295,Cox's Bazar-2,2,"387,851","206,453","181,398",118,,"Kutubdia, Maheshkhali",,,5
230,296,Cox's Bazar-3,2,"545,962","291,099","254,862",176,,"Cox's Bazar Sadar, Ramu",,,6
231,297,Cox's Bazar-4,2,"375,688","192,803","182,879",104,,"Ukhia, Teknaf",,,4
232,298,Khagrachari,2,"554,119","280,206","273,909",196,,Khagrachhari Hill District,,,11
233,299,Rangamati,2,"509,272","263,411","245,859",213,,Rangamati District,,,7
234,300,Bandarban,2,"315,422","161,775","153,647",182,,Bandarban Hill District,,,4
127,130,Tangail-1,3,"437,433","216,007","221,424",148,,"Madhupur, Dhanbari",0,0,6
128,131,Tangail-2,3,"418,606","210,422","208,183",138,,"Gopalpur, Bhuapur",,,4
129,132,Tangail-3,3,"382,720","191,864","190,853",119,,Ghatail,,,5
130,133,Tangail-4,3,"374,917","189,942","184,972",113,,Kalihati,,,6
131,134,Tangail-5,3,"462,412","231,303","231,108",130,,Tangail Sadar,,,10
132,135,Tangail-6,3,"468,076","236,597","231,475",154,,"Delduar, Nagarpur",,,8
133,136,Tangail-7,3,"375,437","188,871","186,560",127,,Mirzapur,,,3
134,137,Tangail-8,3,"414,826","206,623","208,198",127,,"Basail, Sakhipur",,,6
212,162,Kishoreganj-1,3,"555,136","280,657","274,476",174,,"Hossainpur, Kishoreganj Sadar",,,8
213,163,Kishoreganj-2,3,"532,516","268,568","263,939",170,,"Pakundia, Katiadi",,,8
214,164,Kishoreganj-3,3,"448,625","230,210","218,412",149,,"Karimganj, Tarail",,,7
215,165,Kishoreganj-4,3,"408,352","211,182","197,166",147,,"Itna, Mithamoin, Austagram",,,8
216,166,KIshoreganj-5,3,"353,566","182,452","171,108",115,,"Nikli, Bajitpur",,,8
217,167,Kishoreganj-6,3,"428,804","221,114","207,687",142,,"Kuliarchar, Bhairab",,,9
219,168,Manikganj-1,3,"461,942","231,857","230,081",180,,"Daulatpur, Ghior, Shivalaya",,,7
222,169,Manikganj-2,3,"472,622","237,205","235,413",193,,"Harirampur, Manikganj Sadar, ( Putail, Bhararia, Hatipara )  Singair",,,4
223,170,Manikganj-3,3,"400,059","199,398","200,660",143,,"Manikganj Sadar,  Saturia",,,9
235,171,Munshiganj-1,3,"545,519","280,716","264,802",170,,"Srinagar, Sirajdikhan",,,6
236,172,Munshiganj-2,3,"378,492","194,720","183,772",130,,"Louhajang, Tongibari",,,5
237,173,Munshiganj-3,3,"509,467","263,075","246,390",169,,"Munshiganj Sadar, Gazaria",,,8
238,174,Dhaka-1,3,"545,140","276,050","269,085",184,,"Dohar, Nawabganj",,,6
239,175,Dhaka-2,3,"419,215","217,908","201,298",197,,"Keraniganj, Savar, ( Tetuljhora, Amin Bazar, Bhakurta ) Dhaka south city corporation ( 55, 56, 57 no. Ward )",,,3
240,176,Dhaka-3,3,"362,159","184,971","177,184",126,,"Keraniganj, ( Zinzira, Aganagar, Suvadda, Taghoria, Konda )",,,10
241,177,Dhaka-4,3,"362,506","186,467","176,034",77,,"Dhaka South City Corporation ( 47, 51, 52, 53, 54, 58, 59 no. Ward )",,,8
242,178,Dhaka-5,3,"419,996","214,594","205,397",187,,"Dhaka South City Corporation ( 48, 49, 50, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70 no. Ward )",,,11
243,179,Dhaka-6,3,"292,283","152,519","139,761",98,,"Dhaka South City Corporation ( 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46 no. Ward )",,,8
244,180,Dhaka-7,3,"479,376","248,481","230,883",125,,"Dhaka South City Corporation ( 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36 no. Ward )",,,10
245,181,Dhaka-8,3,"275,471","152,795","122,675",110,,"Dhaka South City Corporation ( 8, 9, 10, 11, 12, 13, 19, 20, 21 no. Ward )",,,11
246,182,Dhaka-9,3,"469,360","237,673","231,682",169,,"Dhaka South City Corporation ( 1, 2, 3, 4, 5, 6, 7, 71, 72, 73, 74, 75 no. Ward )",,,12
247,183,Dhaka-10,3,"388,660","204,604","184,050",119,,"Dhaka South City Corporation ( 14, 15, 16, 17, 18, 22 no. Ward )",,,10
248,184,Dhaka-11,3,"439,078","222,877","216,198",162,,"Dhaka North City Corporation ( 21, 22, 23, 37, 38, 39, 40, 41, 42 no Ward )",,,10
251,185,Dhaka-12,3,"333,320","174,349","158,968",140,,"Dhaka North City Corporation ( 24, 25, 26, 27, 35, 36 no. Ward )",,,15
253,186,Dhaka-13,3,"408,791","209,812","198,971",135,,"Dhaka North City Corporation ( 28, 29, 30, 31, 32, 33, 34 no. Ward )",,,9
266,187,Dhaka-14,3,"456,044","232,066","223,974",166,,"Dhaka North City Corporation, ( 7, 8, 9, 10, 11, 12 no. Ward ) Savar ( Kaundia )",,,12
267,188,Dhaka-15,3,"351,718","179,616","172,098",133,,"Dhaka North City Corporation ( 4, 13, 14, 16 )",,,8
268,189,Dhaka-16,3,"400,499","201,168","199,323",137,,"Dhaka North City Corporation ( 2, 3, 5, 6 no Ward )",,,11
269,190,Dhaka-17,3,"333,777","174,709","159,060",124,,"Dhaka North City Corporation, ( 15, 18, 19, 20 no. Ward ) Dhaka Cantonment",,,12
270,191,Dhaka-18,3,"613,883","313,050","300,827",217,,"Dhaka North City Corporation ( 1, 17, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54 no. Ward ),  Airport",,,10
271,192,Dhaka-19,3,"747,070","379,906","367,151",292,,"Savar ( Shimulia, Dhamsona, Pathalia, Yearpur, Ashulia, Birulia, Savar, Bongaon )",,,8
272,193,Dhaka-20,3,"376,639","187,835","188,802",149,,Dhamrai,,,6
273,194,Gazipur-1,3,"720,939","360,234","360,693",237,,"Kaliakair, Gazipur City Corporation ( 1-18 no. Ward )",,,8
274,195,Gazipur-2,3,"804,333","400,402","403,918",272,,"Gazipur City Corporation ( 19-38 no. Ward, 43-57 no. Ward ), Gazipur Cantonment",,,12
275,196,Gazipur-3,3,"527,360","260,191","267,162",180,,"Gazipur Sadar ( Mirzapur, Bhawalgarh, Pirujali ), Sreepur",,,7
276,197,Gazipur-4,3,"330,977","164,429","166,548",122,,Kapasia,,,8
277,198,Gazipur-5,3,"354,643","179,093","175,548",124,,"Gazipur City Corporation ( 39-42 no. Ward ), Gazipur Sadar ( Baria ), Kaliganj",,,7
278,199,Narsingdi-1,3,"477,209","243,945","233,252",136,,Narsingdi Sadar,,,8
279,200,Narsingdi-2,3,"286,218","145,235","140,978",90,,"Narsingdi Sadar ( Amdia,  Panchdona, Meherpara ), Palash",,,6
280,201,Narsingdi-3,3,"284,248","142,947","141,300",97,,Shibpur,,,8
281,202,Narsingdi-4,3,"428,954","212,677","216,274",158,,"Monohardi, Belabo",,,9
282,203,Narsingdi-5,3,"494,650","255,570","239,065",163,,Raipura,,,10
283,204,Narayanganj-1,3,"408,829","207,849","200,977",128,,Rupganj,,,7
284,205,Narayanganj-2,3,"364,098","187,801","176,292",117,,Araihazar,,,7
285,206,Narayanganj-3,3,"593,348","302,290","291,055",131,,Sonargaon,,,11
286,207,Narayanganj-4,3,"540,783","273,715","267,062",231,,"Narayanganj Sadar, Narayanganj City Corporation ( 1-10 no. Ward )",,,13
287,208,Narayanganj-5,3,"485,288","243,768","241,512",175,,"Narayanganj Sadar ( Alirtek, Gognagar ), Narayanganj City Corporation ( 11-27 no. Ward ), Bandar",,,10
288,209,Rajbari-1,3,"430,216","216,150","214,058",156,,"Goalanda, Rajbari Sadar",,,4
289,210,Rajbari-2,3,"559,696","285,544","274,146",194,,"Baliakand, Pangsha, Kalukhali",,,9
290,211,Faridpur-1,3,"510,540","259,335","251,204",196,,"Madhukhali, Boalmari, Alfadanga",,,9
291,212,Faridpur-2,3,"332,041","172,904","159,137",115,,"Nagarkanda, Saltha, Sadarpur ( Krishnapur )",,,6
292,213,Faridpur-3,3,"432,628","216,022","216,600",154,,Faridpur Sadar,,,6
293,214,Faridpur-4,3,"496,706","254,655","242,050",189,,"Charbhadrasan, Sadarpur, Bhanga",,,8
294,215,Gopalganj-1,3,"399,510","202,816","196,694",138,,"Musksudpur, Kashiani ( Maheshpur,  Parulia, Mahmudpur, Sajail, Kashiani, Ratail, Rajpat )",,,9
295,216,Gopalganj-2,3,"384,326","194,060","190,262",151,,"Kashiani ( Fukra, Orakandi, Hatiara, Singa, Bethuri, Puisur, Nijamkandi ), Gopalganj sadar",,,13
296,217,Gopalganj-3,3,"308,784","158,403","150,380",108,,"Tungipara, Kotalipara",,,8
297,218,Madaripur-1,3,"324,289","169,041","155,246",102,,Shibchar,,,10
298,219,Madaripur-2,3,"436,233","223,624","212,601",143,,"Rajoir, Madaripur Sadar",,,10
299,220,Madaripur-3,3,"387,806","202,645","185,159",134,,"Madaripur Sadar (Khoajpur, Jhaudi, Ghatmajhi, Mostafapur, Kendua), Kalkini",,,5
300,221,Shariatpur-1,3,"395,476","207,730","187,736",135,,"Zajira, Shariatpur Sadar",,,8
301,222,Shariatpur-2,3,"415,135","215,993","199,140",133,,"Naria, Bhedarganj ( Sakhipur Thana )",,,9
302,223,Shariatpur-3,3,"340,142","174,068","166,072",110,,"Damudya, Bhedarganj ( Bhedarganj Thana ), Gosairhat",,,4
70,73,Meherpur-1,4,"316,975","157,890","159,082",117,,"Mujibnagar, Meherpur Sadar",,,4
71,74,Meherpur-2,4,"270,705","135,087","135,615",190,,Gangni,,,3
72,75,Kushtia-1,4,"404,504","203,492","201,011",129,,Daulatpur,,,8
73,76,Kushtia-2,4,"478,001","239,126","238,872",161,,"Bheramara, Mirpur",,,5
74,77,Kushtia-3,4,"440,842","217,269","223,569",140,,Kushtia Sadar,,,6
75,78,Kushtia-4,4,"424,417","213,504","210,908",148,,"Kumarkhali, Khoksa",,,6
76,79,Chuadanga-1,4,"511,657","254,385","257,265",181,,"Alamdanga, Chuadanga Sadar (Alukdia Union, Mominpur Union, Qutubpur Union, Chuadanga Sadar, Shankarachandra Union, Padma Bila Union)",,,4
77,80,Chuadanga-2,4,"492,431","246,716","245,711",173,,"Damurhuda, Chuadanga Sadar (Begumpur Union, Titudah Union, Nehalpur Union, Garaitupi union), Jeevannagar",,,2
78,81,Jhenaidah-1,4,"325,278","163,001","162,277",117,,Shailkupa,,,5
79,82,Jhenaidah-2,4,"506,640","251,666","254,963",185,,"Harina Kundu, Jhenaidah Sadar (Maharajpur Union, Fursandi Union, Ghorshal Union, Naldanga Union)",,,6
80,83,Jhenaidah-3,4,"431,015","217,470","213,542",166,,"Maheshpur, Kotchandpur",,,4
81,84,Jhenaidah-4,4,"333,464","168,255","165,204",117,,"Jhenaidah Sadar (Maharajpur Union, Fursandi Union, Ghorshal Union, Naldanga Union), Kaliganj, Jhenaidah",,,6
82,85,Jessore-1,4,"311,633","155,807","155,823",102,,Sharsha,,,4
83,86,Jessore-2,4,"484,866","243,374","241,490",176,,"Jhikargacha, Chougacha",,,8
84,87,Jessore-3,4,"613,460","307,549","305,901",189,,Jessore Sadar (Basundia Union),,,6
85,88,Jessore-4,4,"458,531","228,433","230,094",149,,"Bagharpara, Jessore Sadar (Basundia Union), Abhaynagar",,,8
86,89,Jessore-5,4,"374,252","188,480","185,768",128,,Manirampur,,,6
87,90,Jessore-6,4,"229,163","115,244","113,917",81,,Keshavpur,,,5
88,91,Magura-1,4,"430,775","215,268","215,504",152,,"Sripur, Magura Sadar (Shatrujitpur Union, Berail Polita Union, Kuchiamora Union, Gopalgram Union except)",,,7
89,92,Magura-2,4,"416,634","211,546","205,085",143,,"Shalikha, Mohammadpur, Magura Sadar (Shatrujitpur Union, Berail Polita Union, Kuchiamora Union, Gopalgram Union)",,,4
90,93,Narail-1,4,"294,155","148,505","145,648",110,,"Kalia, Narail Sadar (Sheikhhati Union, Kalora Union, Singasholpur Union, Bhadrabila Union, Bichali Union, Mulia Union)",,,8
91,94,Narail-2,4,"390,988","194,245","196,739",147,,"Lohagra, Narail Sadar (Sheikhhati Union,Kolora Union, Singasholpur Union, Bhadrabila Union, Bichali Union, Mulia Union Except)",,,8
92,95,Bagerhat-1,4,"375,560","190,838","184,720",124,,"Mollahat, Fakirhat, Chitalmari",,,8
93,96,Bagerhat-2,4,"338,009","167,739","170,265",125,,"Kachua, Bagerhat Sadar",,,4
94,97,Bagerhat-3,4,"266,864","132,350","134,510",96,,"Rampal, Mongla",,,5
95,98,Bagerhat-4,4,"380,679","191,812","188,864",143,,"Morelganj, Sharankhola",,,6
96,99,Khulna-1,4,"307,103","152,285","154,814",110,,"Dakop, Batiaghata",,,12
97,100,Khulna-2,4,"335,241","165,762","169,469",157,,Khulna City Corporation (Wards No. 16 to 31),,,3
98,101,Khulna-3,4,"254,409","127,636","126,765",116,,"Khulna City Corporation (Wards No. 1 to 15), Dighlia (Aranghata Union, Yogipol Union)",,,10
99,102,Khulna-4,4,"378,453","188,526","189,922",133,,"Rupsa, Dighalia (Aranghata Union, Yogipol Union Except), Terkhada",,,4
100,103,Khulna-5,4,"402,798","199,354","203,443",135,,"Gilatala Cantonment, Phultala, Dumuria",,,4
101,104,Khulna-6,4,"423,331","212,869","210,461",142,,"Paikgacha, Koira",,,5
102,105,Satkhira-1,4,"496,848","247,873","248,973",168,,"Kalaroa, Tala",,,5
103,106,Satkhira-2,4,"535,654","265,965","269,685",138,,Satkhira Sadar,,,5
104,107,Satkhira-3,4,"502,222","253,984","248,235",154,,"Debhata, Asashuni, Kaliganj (Champaful Union, Nalta Union, Tarali Union, Tenancy Shimla Union)",,,6
105,108,Satkhira-4,4,"298,050","150,026","148,020",142,,"Kaliganj (Champaful Union, Nalta Union, Tarali Union, Tenancy Shimla Union Except), Shyamnagar",,,4
31,34,Joypurhat-1,5,"466,274","231,984","234,282",151,,"Panchbibi, Joypurhat Sadar",,,5
32,35,Joypurhat-2,5,"351,572","174,177","177,393",103,,"Kalai, Khetlal, Akkelpur",,,3
33,36,Bogra-1,5,"376,019","186,388","189,626",124,,"Sariakandi, Sonatala",,,5
34,37,Bogra-2,5,"342,155","171,497","170,653",110,,Shibganj,,,7
35,38,Bogra-3,5,"339,181","169,347","169,831",117,,"Dupchanchia, Adamdighi",,,4
36,39,Bogra-4,5,"359,523","178,985","180,530",114,,"Kahalu, Nandigram",,,4
37,40,Bogra-5,5,"572,340","281,287","291,047",188,,"Sherpur, Dhunat",,,5
38,41,Bogra-6,5,"454,043","222,796","231,237",144,,Bogra Sadar,,,5
39,42,Bogra-7,5,"538,092","270,070","268,017",172,,"Gabtali, Shajahanpur",,,4
40,43,Chapainawabganj-1,5,"500,181","255,316","244,865",158,,"Shibganj, Chapainawabganj",,,6
41,44,Chapainawabganj-2,5,"461,000","228,825","232,174",182,,"Bholahat, Gomstapur, Nachol",,,5
42,45,Chapainawabganj-3,5,"468,479","236,648","231,831",172,,Chapainawabganj Sadar,,,5
43,46,Naogaon-1,5,"474,067","235,379","238,684",165,,"Niamatpur, Porsha, Sapahar",,,5
44,47,Naogaon-2,5,"372,436","185,375","187,059",124,,"Patnitala, Dhamirhat",,,3
45,48,Naogaon-3,5,"440,785","218,988","221,796",141,,"Badalgachhi, Mahadevpur",,,8
46,49,Naogaon-4,5,"333,862","165,643","168,215",117,,Manda,,,6
47,50,Naogaon-5,5,"363,030","180,031","182,994",113,,Naogaon Sadar,,,5
48,51,Naogaon-6,5,"345,416","174,350","171,061",114,,"Raninagar, Atrai",,,5
49,52,Rajshahi-1,5,"468,780","234,078","234,699",158,,"Tanor, Godagari",,,5
50,53,Rajshahi-2,5,"369,564","178,249","191,307",112,,Rajshahi City Corporation,,,6
51,54,Rajshahi-3,5,"423,738","210,897","212,835",128,,"Paba, Mohanpur",,,6
52,55,Rajshahi-4,5,"319,909","160,720","159,185",122,,Bagmara,,,4
53,56,Rajshahi-5,5,"353,174","176,670","176,499",132,,"Durgapur, Puthia",,,7
54,57,Rajshahi-6,5,"357,054","178,068","178,984",118,,"Charghat, Bagha",,,4
55,58,Natore-1,5,"368,276","183,595","184,679",125,,"Lalpur, Bagatipara",,,10
56,59,Natore-2,5,"406,886","201,655","205,222",156,,"Sadar, Naldanga",,,6
57,60,Natore-3,5,"326,872","164,088","162,781",118,,Singra,,,6
58,61,Natore-4,5,"445,172","221,348","223,821",167,,"Gurdaspur, Baraigram",,,5
59,62,Sirajganj-1,5,"385,024","189,676","195,344",173,,"Kazipur,Sirajganj Sadar (Ratankandi Union,Bagbati Union,Bahuli Union,Chongagacha Union,Mehra Union)",,,6
60,63,Sirajganj-2,5,"469,878","235,248","234,626",145,,"Sirajganj Sadar (SIALKOL UNION,Khokshabari Union, Sirajganj Sadar,Kawakhola Union,Kaliaharipur Union,Syedabad Union,Kamarkhand upazila)",,,7
61,64,Sirajganj-3,5,"444,427","222,737","221,683",153,,"Raiganj, Tarash",,,4
62,65,Sirajganj-4,5,"475,821","243,680","232,125",137,,Ullapara,,,5
63,66,Sirajganj-5,5,"426,321","218,664","207,655",124,,"Belkuchi, Chauhali",,,6
64,67,Sirajganj-6,5,"485,387","246,412","238,972",160,,Shahjadpur,,,11
65,68,Pabna-1,5,"464,904","237,675","227,228",125,,"Santhia,Fence,Fence Municipality (Haturia Nakalia Union,New Varenga Union,Kaitola union, Chakla Union)",,,4
66,69,Pabna-2,5,"373,425","191,467","181,957",108,,"Fence (Old Varenga Union,Jatsakhini Union,Rooppur Union,Masumdia Union,Dhallachar Union),Sujanagar",,,5
67,70,Pabna-3,5,"486,806","243,937","242,863",176,,"Faridpur, Bhangura, Chatmohar",,,8
68,71,Pabna-4,5,"440,168","221,442","218,720",129,,"Atgharia, Ishwardi",,,7
69,72,Pabna-5,5,"528,044","266,433","261,608",163,,Pabna Sadar,,,4
13,1,Panchagarh-1,6,"463,700","231,976","231,723",156,,"Tetulia, Panchagarh Sadar, Atwari",,,7
14,2,Panchagarh-2,6,"417,529","209,708","207,818",131,,"Boda, Debiganj",0,0,8
15,3,Thakurgaon-1,6,"511,629","255,053","256,572",185,,Thakurgaon Sadar,,,3
16,4,Thakurgaon-2,6,"340,049","175,232","164,816",104,,"Baliadangi, Ranisankail (Dharmagarh, Kashipur),  Haripur",,,7
17,5,Thakurgaon-3,6,"364,129","184,701","179,426",128,,"Ranisankail, Pirganj",,,10
18,6,Dinajpur-1,6,"417,133","208,919","208,212",123,,"Birganj, Kaharole",,,6
19,7,Dinajpur-2,6,"371,478","187,112","184,366",113,,"Bochaganj, Biral",,,8
20,8,Dinajpur-3,6,"415,636","205,486","210,148",130,,Dinajpur Sadar,,,8
21,9,Dinajpur-4,6,"421,278","211,304","209,972",130,,"Khansama, Chirirbandar",,,4
