seat_no,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters
83,Jhenaidah-3,Jhenaidah,Khulna,Rural,431015,217470,213542,3
84,Jhenaidah-4,Jhenaidah,Khulna,Rural,333464,168255,165204,5
85,Jessore-1,Jessore,Khulna,Rural,308417,153296,155118,3
86,Jessore-2,Jessore,Khulna,Rural,477565,237430,240133,2
87,Jessore-3,Jessore,Khulna,Urban,606638,301888,304740,10
88,Jessore-4,Jessore,Khulna,Rural,453634,224371,229259,4
89,Jessore-5,Jessore,Khulna,Rural,369082,184215,184863,4
90,Jessore-6,Jessore,Khulna,Rural,226423,113134,113287,2
91,Magura-1,Magura,Khulna,Urban,430775,215268,215504,3
92,Magura-2,Magura,Khulna,Rural,416634,211546,205085,3
93,Narail-1,Narail,Khulna,Rural,294155,148505,145648,2
94,Narail-2,Narail,Khulna,Urban,390988,194245,196739,4
95,Bagerhat-1,Bagerhat,Khulna,Rural,375560,190838,184720,2
96,Bagerhat-2,Bagerhat,Khulna,Urban,338009,167739,170265,5
97,Bagerhat-3,Bagerhat,Khulna,Rural,266864,132350,134510,4
98,Bagerhat-4,Bagerhat,Khulna,Rural,380679,191812,188864,3
99,Khulna-1,Khulna,Khulna,Rural,307103,152285,154814,4
100,Khulna-2,Khulna,Khulna,Urban,335241,165762,169469,10
101,Khulna-3,Khulna,Khulna,Urban,254409,127636,126765,8
102,Khulna-4,Khulna,Khulna,Rural,378453,188526,189922,5
103,Khulna-5,Khulna,Khulna,Rural,402798,199354,203443,1
104,Khulna-6,Khulna,Khulna,Rural,423331,212869,210461,1
105,Satkhira-1,Satkhira,Khulna,Rural,496848,247873,248973,2
106,Satkhira-2,Satkhira,Khulna,Urban,535654,265965,269685,4
107,Satkhira-3,Satkhira,Khulna,Rural,502222,253984,248235,3
108,Satkhira-4,Satkhira,Khulna,Rural,298050,150026,148020,4
109,Barguna-1,Barguna,Barisal,Urban,519460,259098,260351,11
110,Barguna-2,Barguna,Barisal,Rural,337744,167965,169775,4
111,Patuakhali-1,Patuakhali,Barisal,Urban,505840,254339,251493,8
112,Patuakhali-2,Patuakhali,Barisal,Rural,315282,160501,154779,2
113,Patuakhali-3,Patuakhali,Barisal,Rural,375871,189020,186848,3
114,Patuakhali-4,Patuakhali,Barisal,Rural,312603,158123,154475,5
115,Bhola-1,Bhola,Barisal,Urban,406567,210087,196475,5
116,Bhola-2,Bhola,Barisal,Rural,395546,206433,189112,1
117,Bhola-3,Bhola,Barisal,Rural,388550,200497,188050,3
118,Bhola-4,Bhola,Barisal,Rural,502026,262843,239176,7
119,Barisal-1,Barisal,Barisal,Rural,328198,165364,162834,0
120,Barisal-2,Barisal,Barisal,Rural,385807,196262,189544,1
121,Barisal-3,Barisal,Barisal,Rural,332097,167921,164173,3
122,Barisal-4,Barisal,Barisal,Rural,421975,217942,204030,3
123,Barisal-5,Barisal,Barisal,Urban,501304,250680,250615,9
124,Barisal-6,Barisal,Barisal,Rural,315597,160055,155538,4
125,Jhalokati-1,Jhalokati,Barisal,Rural,225342,114117,111223,2
126,Jhalokati-2,Jhalokati,Barisal,Urban,361001,181859,179140,2
127,Pirojpur-1,Pirojpur,Barisal,Urban,392178,198709,193469,0
128,Pirojpur-2,Pirojpur,Barisal,Rural,409288,204312,204972,4
129,Pirojpur-3,Pirojpur,Barisal,Rural,241361,122045,119315,1
130,Tangail-1,Tangail,Dhaka,Rural,437433,216007,221424,2
131,Tangail-2,Tangail,Dhaka,Rural,418606,210422,208183,1
132,Tangail-3,Tangail,Dhaka,Rural,382720,191864,190853,3
133,Tangail-4,Tangail,Dhaka,Rural,374917,189942,184972,3
134,Tangail-5,Tangail,Dhaka,Urban,462412,231303,231108,1
135,Tangail-6,Tangail,Dhaka,Rural,468076,236597,231475,4
136,Tangail-7,Tangail,Dhaka,Rural,375437,188871,186560,6
137,Tangail-8,Tangail,Dhaka,Rural,414826,206623,208198,5
138,Jamalpur-1,Jamalpur,Mymensingh,Rural,431707,216207,215498,2
139,Jamalpur-2,Jamalpur,Mymensingh,Rural,282103,144469,137633,1
140,Jamalpur-3,Jamalpur,Mymensingh,Rural,539504,274257,265241,6
141,Jamalpur-4,Jamalpur,Mymensingh,Rural,304992,151527,153464,1
142,Jamalpur-5,Jamalpur,Mymensingh,Urban,576810,281747,295053,10
143,Sherpur-1,Sherpur,Mymensingh,Urban,450489,224472,226009,8
144,Sherpur-2,Sherpur,Mymensingh,Rural,440035,215786,224249,0
145,Sherpur-3,Sherpur,Mymensingh,Rural,413377,205077,208293,7
146,Mymensingh-1,Mymensingh,Mymensingh,Rural,483712,241604,242104,4
147,Mymensingh-2,Mymensingh,Mymensingh,Rural,576167,294451,281713,3
148,Mymensingh-3,Mymensingh,Mymensingh,Rural,298268,150780,147487,1
149,Mymensingh-4,Mymensingh,Mymensingh,Urban,695306,345005,350291,10
150,Mymensingh-5,Mymensingh,Mymensingh,Rural,387927,194275,193650,2
151,Mymensingh-6,Mymensingh,Mymensingh,Rural,417927,210330,207595,2
152,Mymensingh-7,Mymensingh,Mymensingh,Rural,403249,205179,198070,0
