seat_name,party,name,vote,center,division_id,total_center,time,source,voters,male_voters,female_voters,thirdgender_voters,vote_pc
Habiganj-2,Islami Andolan Bangladesh,Md. Sultan Ahmad Khan,,,8,150,2026-02-12 15:56:06.220455+00:00,dt,394756.0,200162.0,194590.0,4.0,
Habiganj-2,JaPa,Md. Faruk,,,8,150,2026-02-12 15:56:06.220455+00:00,dt,394756.0,200162.0,194590.0,4.0,
Habiganj-2,Jamaat,Md. Shahinur Islam,,,8,150,2026-02-12 15:56:06.220455+00:00,dt,394756.0,200162.0,194590.0,4.0,
Habiganj-3,BNP,Tanvir Ahmed,,,8,131,2026-02-12 15:56:06.220455+00:00,dt,419573.0,213298.0,206262.0,13.0,
Habiganj-3,CPB,Mohammad Firoz Alam,,,8,131,2026-02-12 15:56:06.220455+00:00,dt,419573.0,213298.0,206262.0,13.0,
Habiganj-3,Islami Andolan Bangladesh,Syed Md. Mosaddeq Billah,,,8,131,2026-02-12 15:56:06.220455+00:00,dt,419573.0,213298.0,206262.0,13.0,
Habiganj-3,Jamaat,Syed Zainul Abedin,,,8,131,2026-02-12 15:56:06.220455+00:00,dt,419573.0,213298.0,206262.0,13.0,
Habiganj-4,BNP,Md. Nabi Ullah,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,552711.0,278660.0,274049.0,2.0,
Habiganj-4,CPB,Tofazzal Hossain Mostafa,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,552711.0,278660.0,274049.0,2.0,
Habiganj-4,Islami Andolan Bangladesh,Md. Ibrahim,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,552711.0,278660.0,274049.0,2.0,
Habiganj-4,Jamaat,Mohammad Kamal Hossain,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,552711.0,278660.0,274049.0,2.0,
Jamalpur-1,BNP,Md. Faridul Kabir Talukdar,,,7,127,2026-02-12 15:56:06.220455+00:00,dt,431707.0,216207.0,215498.0,2.0,
Jamalpur-1,CPB,Md. Mahbub Zaman Jewel,,,7,127,2026-02-12 15:56:06.220455+00:00,dt,431707.0,216207.0,215498.0,2.0,
Jamalpur-1,Islami Andolan Bangladesh,Md. Ali Akbar,,,7,127,2026-02-12 15:56:06.220455+00:00,dt,431707.0,216207.0,215498.0,2.0,
Jamalpur-1,Jamaat,Mohammad Abdul Awal,,,7,127,2026-02-12 15:56:06.220455+00:00,dt,431707.0,216207.0,215498.0,2.0,
Jamalpur-2,BNP,Shah Md. Waresh Ali Mamun,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,282103.0,144469.0,137633.0,1.0,
Jamalpur-2,CPB,Sheikh Md. Akkas Ali,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,282103.0,144469.0,137633.0,1.0,
Jamalpur-2,Islami Andolan Bangladesh,Syed Yunus Ahmed,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,282103.0,144469.0,137633.0,1.0,
Jamalpur-2,Jamaat,Muhammad Abdus Sattar,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,282103.0,144469.0,137633.0,1.0,
Jamalpur-3,BNP,Sansila Zebrin,8234.0,18.0,7,153,2026-02-12 15:56:06.220455+00:00,dt,539504.0,274257.0,265241.0,6.0,1.53
Jamalpur-3,JaPa,Md. Mahmudul Haque Moni,,18.0,7,153,2026-02-12 15:56:06.220455+00:00,dt,539504.0,274257.0,265241.0,6.0,
Jamalpur-3,Jamaat,Md. Rashedul Islam Rashed,16823.0,18.0,7,153,2026-02-12 15:56:06.220455+00:00,dt,539504.0,274257.0,265241.0,6.0,3.12
Jamalpur-3,NCP,Md. Likhon Mia,,18.0,7,153,2026-02-12 15:56:06.220455+00:00,dt,539504.0,274257.0,265241.0,6.0,
Jamalpur-4,AB Party,Md. Abdullah,,14.0,7,89,2026-02-12 15:56:06.220455+00:00,dt,304992.0,151527.0,153464.0,1.0,
Jamalpur-4,BNP,Mohammad Fahim Chowdhury,9657.0,14.0,7,89,2026-02-12 15:56:06.220455+00:00,dt,304992.0,151527.0,153464.0,1.0,3.17
Jamalpur-4,Islami Andolan Bangladesh,Md. Abdullah Al Qayes,,14.0,7,89,2026-02-12 15:56:06.220455+00:00,dt,304992.0,151527.0,153464.0,1.0,
Jamalpur-4,Jamaat,Md. Golam Kibria,9312.0,14.0,7,89,2026-02-12 15:56:06.220455+00:00,dt,304992.0,151527.0,153464.0,1.0,3.05
Jamalpur-5,BNP,Md. Mahmudul Haque Rubel,,,7,159,2026-02-12 15:56:06.220455+00:00,dt,576810.0,281747.0,295053.0,10.0,
Jamalpur-5,Islami Andolan Bangladesh,Abu Taleb Md. Saifuddin,,,7,159,2026-02-12 15:56:06.220455+00:00,dt,576810.0,281747.0,295053.0,10.0,
Jamalpur-5,Jamaat,Mohammad Nuruzzaman,,,7,159,2026-02-12 15:56:06.220455+00:00,dt,576810.0,281747.0,295053.0,10.0,
Kurigram-1,BNP,Shaharin Islam,,,6,229,2026-02-12 15:56:06.220455+00:00,dt,563978.0,281424.0,282551.0,3.0,
Kurigram-1,Islami Andolan Bangladesh,Hasibul Islam,,,6,229,2026-02-12 15:56:06.220455+00:00,dt,563978.0,281424.0,282551.0,3.0,
Kurigram-1,Jamaat,Al-Faruk Abdul Latif,,,6,229,2026-02-12 15:56:06.220455+00:00,dt,563978.0,281424.0,282551.0,3.0,
Kurigram-1,Khelafat Majlish,Md. Sarwarul Alam,,,6,229,2026-02-12 15:56:06.220455+00:00,dt,563978.0,281424.0,282551.0,3.0,
Kurigram-2,BNP,Alhaj Syed Ali,,,6,204,2026-02-12 15:56:06.220455+00:00,dt,604738.0,299890.0,304841.0,7.0,
Kurigram-2,Islami Andolan Bangladesh,Md. Amzad Hossain (Sarkar),,,6,204,2026-02-12 15:56:06.220455+00:00,dt,604738.0,299890.0,304841.0,7.0,
Kurigram-2,JaPa,Md. Rohan Chowdhury,,,6,204,2026-02-12 15:56:06.220455+00:00,dt,604738.0,299890.0,304841.0,7.0,
Kurigram-2,Jamaat,Obaidullah Salafi,,,6,204,2026-02-12 15:56:06.220455+00:00,dt,604738.0,299890.0,304841.0,7.0,
Kurigram-3,BJP,Mirza Md. Shawkat Akbar (Rowshan),,,6,139,2026-02-12 15:56:06.220455+00:00,dt,368470.0,183064.0,185406.0,0.0,
Kurigram-3,BNP,Md. Abdul Gafur Sarkar,,,6,139,2026-02-12 15:56:06.220455+00:00,dt,368470.0,183064.0,185406.0,0.0,
Kurigram-3,Islami Andolan Bangladesh,Md. Shahidul Islam,,,6,139,2026-02-12 15:56:06.220455+00:00,dt,368470.0,183064.0,185406.0,0.0,
Kurigram-3,JaPa,Md. Siddiqul Alam,,,6,139,2026-02-12 15:56:06.220455+00:00,dt,368470.0,183064.0,185406.0,0.0,
Kurigram-3,Jamaat,Abdul Muntakim,,,6,139,2026-02-12 15:56:06.220455+00:00,dt,368470.0,183064.0,185406.0,0.0,
Kurigram-4,BNP,Md. Hasan Rajib Pradhan,,,6,130,2026-02-12 15:56:06.220455+00:00,dt,362753.0,181361.0,181388.0,4.0,
Kurigram-4,Islami Andolan Bangladesh,Muhammad Fazlul Karim Shaharia,,,6,130,2026-02-12 15:56:06.220455+00:00,dt,362753.0,181361.0,181388.0,4.0,
Kurigram-4,JaPa,Md. Moshiur Rahman Ranga,,,6,130,2026-02-12 15:56:06.220455+00:00,dt,362753.0,181361.0,181388.0,4.0,
Kurigram-4,Jamaat,Md. Anwarul Islam Raju,,,6,130,2026-02-12 15:56:06.220455+00:00,dt,362753.0,181361.0,181388.0,4.0,
Lalmonirhat-1,AB Party,Md. Nahid-Rana,,,6,132,2026-02-12 15:56:06.220455+00:00,dt,403561.0,202707.0,200852.0,2.0,
Lalmonirhat-1,BNP,Md. Abdus Salam,,,6,132,2026-02-12 15:56:06.220455+00:00,dt,403561.0,202707.0,200852.0,2.0,
Lalmonirhat-1,CPB,Sahabuddin Ahmed,,,6,132,2026-02-12 15:56:06.220455+00:00,dt,403561.0,202707.0,200852.0,2.0,
Lalmonirhat-1,Islami Andolan Bangladesh,Md. Rezaul Karim,,,6,132,2026-02-12 15:56:06.220455+00:00,dt,403561.0,202707.0,200852.0,2.0,
Lalmonirhat-1,JaPa,Nurun Nahar Begum,,,6,132,2026-02-12 15:56:06.220455+00:00,dt,403561.0,202707.0,200852.0,2.0,
Lalmonirhat-1,Jamaat,Md. Abdul Hakim,,,6,132,2026-02-12 15:56:06.220455+00:00,dt,403561.0,202707.0,200852.0,2.0,
Lalmonirhat-2,BNP,Md. Zahidur Rahman,,,6,144,2026-02-12 15:56:06.220455+00:00,dt,432964.0,217200.0,215761.0,3.0,
