name,src,party,name_bn,seat_no,symbol,alliance,seat,district,division
Md. Aminul Islam,md_aminul_islam_bagerhat_1.jpg,AB Party,মোঃ আমিনুল ইসলাম,95,ঈগল,,Bagerhat-1,Bagerhat,Khulna
Kapil Krishna Mandal,kapil_krishna_mandal_bagerhat_1.jpg,BNP,কপিল কৃষ্ণ মন্ডল,95,ধানের শীষ,BNP,Bagerhat-1,Bagerhat,Khulna
A. Sabur Sheikh,a_sabur_sheikh_bagerhat_1.jpg,Bangladesh Muslim League,আঃ সবুর শেখ,95,হাত (পাঞ্জা),,Bagerhat-1,Bagerhat,Khulna
M. A. H. Selim,m_a_h_selim_bagerhat_1.jpg,Independent,এম এ এইচ সেলিম,95,ঘোড়া,,Bagerhat-1,Bagerhat,Khulna
Md. Sheikh Masud Rana,md_sheikh_masud_rana_bagerhat_1.jpg,Independent,মোঃ শেখ মাছুদ রানা,95,ফুটবল,,Bagerhat-1,Bagerhat,Khulna
S. M. Golam Sorrowar,s_m_golam_sorrowar_bagerhat_1.jpg,JaPa,গোলাম সারোয়ার,95,লাঙ্গল,JaPa,Bagerhat-1,Bagerhat,Khulna
Md. Mashiur Rahman Khan,md_mashiur_rahman_khan_bagerhat_1.jpg,Jamaat,মোঃ মশিউর রহমান খান,95,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-1,Bagerhat,Khulna
Sheikh Mohammad Zakir Hossain,sheikh_mohammad_zakir_hossain_bagerhat_2.jpg,BNP,শেখ মোহাম্মদ জাকির হোসেন,96,ধানের শীষ,BNP,Bagerhat-2,Bagerhat,Khulna
M. A. H. Selim,m_a_h_selim_bagerhat_2.jpg,Independent,এম এ এইচ সেলিম,96,ঘোড়া,,Bagerhat-2,Bagerhat,Khulna
Sheikh Atiyar Rahman,sheikh_atiyar_rahman_bagerhat_2.jpg,Islami Andolan Bangladesh,শেখ আতিয়ার রহমান,96,হাতপাখা,IAB,Bagerhat-2,Bagerhat,Khulna
Sheikh Manjurul Haque (Rahad),sheikh_manjurul_haque_(rahad)_bagerhat_2.jpg,Jamaat,শেখ মনজুরুল হক (রাহাদ),96,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-2,Bagerhat,Khulna
Sheikh Faridul Islam,sheikh_faridul_islam_bagerhat_3.jpg,BNP,শেখ ফরিদুল ইসলাম,97,ধানের শীষ,BNP,Bagerhat-3,Bagerhat,Khulna
M. A. H. Selim,m_a_h_selim_bagerhat_3.jpg,Independent,এম এ এইচ সেলিম,97,ঘোড়া,,Bagerhat-3,Bagerhat,Khulna
Sheikh Zillur Rahman,sheikh_zillur_rahman_bagerhat_3.jpg,Islami Andolan Bangladesh,শেখ জিল্লুর রহমান,97,হাতপাখা,IAB,Bagerhat-3,Bagerhat,Khulna
Md. Habibur Rahman Master,md_habibur_rahman_master_bagerhat_3.jpg,JSD,মোঃ হাবিবুর রহমান মাষ্টার,97,তারা,,Bagerhat-3,Bagerhat,Khulna
Mohammed Abdul Wadud Sheikh,mohammed_abdul_wadud_sheikh_bagerhat_3.jpg,Jamaat,মোহাম্মাদ আব্দুল ওয়াদুদ সেখ,97,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-3,Bagerhat,Khulna
,,BNP,সোম নাথ দে,98,ধানের শীষ,BNP,Bagerhat-4,Bagerhat,Khulna
,,Independent,কাজী খায়রুজ্জামান (শিপন),98,হরিণ,,Bagerhat-4,Bagerhat,Khulna
,,Islami Andolan Bangladesh,মোঃ ওমর ফারুক,98,হাতপাখা,IAB,Bagerhat-4,Bagerhat,Khulna
,,JSD,মোঃ আঃ লতিফ খাঁন,98,তারা,,Bagerhat-4,Bagerhat,Khulna
,,JaPa,সজন কুমার মিস্ত্রি,98,লাঙ্গল,JaPa,Bagerhat-4,Bagerhat,Khulna
,,Jamaat,মোঃ আব্দুল আলীম,98,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-4,Bagerhat,Khulna
Saching Prue,saching_prue_bandarban.jpg,BNP,সাচিং প্রু জেরী,300,ধানের শীষ,BNP,Bandarban,Bandarban,Chittagong
Md. Abul Kalam Azad,md_abul_kalam_azad_bandarban.jpg,Islami Andolan Bangladesh,আবুল কালাম আজাদ,300,হাতপাখা,IAB,Bandarban,Bandarban,Chittagong
Abu Jafar Mohammad Wali Ullah,abu_jafar_mohammad_wali_ullah_bandarban.jpg,JaPa,আবু জাফর মোহাম্মদ ওয়ালীউন্নাহ,300,লাঙ্গল,JaPa,Bandarban,Bandarban,Chittagong
Abu Saeed Md. Sujauddin,abu_saeed_md_sujauddin_bandarban.jpg,NCP,এস এম সুজা উদ্দিন,300,শাপলা কলি,,Bandarban,Bandarban,Chittagong
Md. Nazrul Islam Molla,md_nazrul_islam_molla_barguna_1.jpg,BNP,মোঃ নজরুল ইসলাম মোল্লা,109,ধানের শীষ,BNP,Barguna-1,Barguna,Barisal
Md. Ali Ullah,md_ali_ullah_barguna_1.jpg,Islami Andolan Bangladesh,মোঃ অলি উল্লাহ,109,হাতপাখা,IAB,Barguna-1,Barguna,Barisal
Md. Jamal Hossain,md_jamal_hossain_barguna_1.jpg,JaPa,মোঃ জামাল হোসাইন,109,বাইসাইকেল,JaPa,Barguna-1,Barguna,Barisal
Md. Jahangir Hossain,md_jahangir_hossain_barguna_1.jpg,Khelafat Majlish,মোঃ জাহাঙ্গীর হোসাইন,109,দেওয়াল ঘড়ি,Jamaat-NCP,Barguna-1,Barguna,Barisal
Md. Nurul Islam,md_nurul_islam_barguna_2.jpg,BNP,মোঃ নূরুল ইসলাম,110,ধানের শীষ,BNP,Barguna-2,Barguna,Barisal
Md. Sabbir Ahmed,md_sabbir_ahmed_barguna_2.jpg,Bangladesh Congress,মোঃ সাব্বির আহম্মেদ,110,ডাব,,Barguna-2,Barguna,Barisal
Md. Kamruzzaman Liton,md_kamruzzaman_liton_barguna_2.jpg,Bangladesh Jatiya Party,মোঃ কামরুজ্জামান লিটন,110,কাঁঠাল,,Barguna-2,Barguna,Barisal
Md. Rashed Ud Zaman,md_rashed_ud_zaman_barguna_2.jpg,Independent,মোঃ রাশেদ উদ জামান,110,জাহাজ,,Barguna-2,Barguna,Barisal
Md. Mizanur Rahman,md_mizanur_rahman_barguna_2.jpg,Islami Andolan Bangladesh,মোঃ মিজানুর রহমান,110,হাতপাখা,IAB,Barguna-2,Barguna,Barisal
Abdul Latif Farazi,abdul_latif_farazi_barguna_2.jpg,JaPa,আবদুল লতিফ ফরাজী,110,লাঙ্গল,JaPa,Barguna-2,Barguna,Barisal
Dr. Sultan Ahmed,dr_sultan_ahmed_barguna_2.jpg,Jamaat,ডাঃ সুলতান আহমদ,110,দাঁড়িপাল্লা,Jamaat-NCP,Barguna-2,Barguna,Barisal
Syed Md. Nazis Afroz,syed_md_nazis_afroz_barguna_2.jpg,NDM,সৈয়দ মোঃ নাজেস আফরোজ,110,সিংহ,,Barguna-2,Barguna,Barisal
Md. Solaiman,md_solaiman_barguna_2.jpg,NPP,মোঃ সোলায়মান,110,আম,,Barguna-2,Barguna,Barisal
Zahir Uddin Swapan,zahir_uddin_swapan_barisal_1.jpg,BNP,জহির উদ্দিন স্বপন,119,ধানের শীষ,BNP,Barisal-1,Barisal,Barisal
Abdus Sobhan,abdus_sobhan_barisal_1.jpg,Independent,আব্দুস সোবহান,119,ফুটবল,,Barisal-1,Barisal,Barisal
Md. Russell Sardar,md_russell_sardar_barisal_1.jpg,Islami Andolan Bangladesh,মোঃ রাসেল সরদার,119,হাতপাখা,IAB,Barisal-1,Barisal,Barisal
Sernabiat Sekandar Ali,sernabiat_sekandar_ali_barisal_1.jpg,JaPa,ছেরনিয়াবাত সেকেন্দার আলী,119,বাইসাইকেল,JaPa,Barisal-1,Barisal,Barisal
Md. Kamrul Islam Khan,md_kamrul_islam_khan_barisal_1.jpg,Jamaat,মোঃ কামরুল ইসলাম খান,119,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-1,Barisal,Barisal
Sardar Sarfuddin Ahmed,sardar_sarfuddin_ahmed_barisal_2.jpg,BNP,সরদার সরফুদ্দিন আহমেদ,120,ধানের শীষ,BNP,Barisal-2,Barisal,Barisal
Md. Abul Kamal Azad,md_abul_kamal_azad_barisal_2.jpg,Bangladesh JaSaD,মোঃ আবুল কালাম আজাদ,120,মোটরগাড়ি (কার),,Barisal-2,Barisal,Barisal
Ranjit Kumar Baroi,ranjit_kumar_baroi_barisal_2.jpg,GOP (Nuru),রঞ্জিত কুমার বাড়ৈ,120,ট্রাক,,Barisal-2,Barisal,Barisal
Mohammad Nesar Uddin,mohammad_nesar_uddin_barisal_2.jpg,Islami Andolan Bangladesh,মোহাম্মদ নেছার উদ্দিন,120,হাতপাখা,IAB,Barisal-2,Barisal,Barisal
A. Haq,a_haq_barisal_2.jpg,JP (Manju),আঃ হক,120,বাইসাইকেল,,Barisal-2,Barisal,Barisal
A. A. Jalil,a_a_jalil_barisal_2.jpg,JaPa,এম এ জলিল,120,লাঙ্গল,JaPa,Barisal-2,Barisal,Barisal
Abdul Mannan,abdul_mannan_barisal_2.jpg,Jamaat,আবদুল মন্নান,120,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-2,Barisal,Barisal
Mr. Ali,mr_ali_barisal_2.jpg,NPP,সাহেব আলী,120,আম,,Barisal-2,Barisal,Barisal
Mohammad Asaduzzaman Bhuiyan,mohammad_asaduzzaman_bhuiyan_barisal_3.jpg,AB Party,মোহাম্মদ আসাদুজ্জামান ভুইয়া,121,ঈগল,Jamaat-NCP,Barisal-3,Barisal,Barisal
Zainul Abedin,zainul_abedin_barisal_3.jpg,BNP,জয়নুল আবেদীন,121,ধানের শীষ,BNP,Barisal-3,Barisal,Barisal
Md. Azmul Hasan Jihad,md_azmul_hasan_jihad_barisal_3.jpg,BaSaD,‌মোঃ আজমুল হাসান জিহাদ,121,মই,,Barisal-3,Barisal,Barisal
Yamin H.M. Fardin,yamin_hm_fardin_barisal_3.jpg,GOP (Nuru),ইয়ামিন এইচএম ফারদিন,121,ট্রাক,,Barisal-3,Barisal,Barisal
Muhammad Sirajul Islam,muhammad_sirajul_islam_barisal_3.jpg,Islami Andolan Bangladesh,মুহাম্মদ সিরাজুল ইসলাম,121,হাতপাখা,IAB,Barisal-3,Barisal,Barisal
Golam Kibria Tipu,golam_kibria_tipu_barisal_3.jpg,JaPa,গোলাম কিবরিয়া টিপু,121,লাঙ্গল,JaPa,Barisal-3,Barisal,Barisal
Md. Rajib Ahsan,md_rajib_ahsan_barisal_4.jpg,BNP,মোঃ রাজিব আহসান,122,ধানের শীষ,BNP,Barisal-4,Barisal,Barisal
Abdul Jalil,abdul_jalil_barisal_4.jpg,Bangladesh Sangskritik Muktijote,আবদুল জলিল,122,ছড়ি,,Barisal-4,Barisal,Barisal
Syed Ishaq Md. Abul Khair,syed_ishaq_md_abul_khair_barisal_4.jpg,Islami Andolan Bangladesh,সৈয়দ এছহাক মোঃ আবুল খায়ের,122,হাতপাখা,IAB,Barisal-4,Barisal,Barisal
Abdus Sattar (Dokon),abdus_sattar_(dokon)_barisal_4.jpg,JaSaD,আবদুস ছালাম (খোকন),122,মোটরগাড়ি (কার),,Barisal-4,Barisal,Barisal
Mohammad Abdul Jabbar,mohammad_abdul_jabbar_barisal_4.jpg,Jamaat,মোহাম্মদ আব্দুল জব্বার,122,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-4,Barisal,Barisal
Md. Mujibur Rahman Sarwar,md_mujibur_rahman_sarwar_barisal_5.jpg,BNP,মোঃ মজিবর রহমান সরওয়ার,123,ধানের শীষ,BNP,Barisal-5,Barisal,Barisal
Manisha Chakraborty,manisha_chakraborty_barisal_5.jpg,BaSaD,মনীষা চক্রবর্ত্তী,123,মই,,Barisal-5,Barisal,Barisal
Md. Saidur Rahman,md_saidur_rahman_barisal_5.jpg,BaSaD (M),মোঃসাইদুর রহমান,123,কাঁচি,,Barisal-5,Barisal,Barisal
Mufti Syed Md. Faizul Karim,mufti_syed_md_faizul_karim_barisal_5.jpg,Islami Andolan Bangladesh,মুফতী সৈয়দ মোঃ ফয়জুল করিম,123,হাতপাখা,IAB,Barisal-5,Barisal,Barisal
Akhtar Rahman,akhtar_rahman_barisal_5.jpg,JaPa,আখতার রহমান,123,লাঙ্গল,JaPa,Barisal-5,Barisal,Barisal
Abdul Hannan Sikder,abdul_hannan_sikder_barisal_5.jpg,NPP,আব্দুল হান্নান সিকদার,123,আম,,Barisal-5,Barisal,Barisal
Abul Hossain Khan,abul_hossain_khan_barisal_6.jpg,BNP,আবুল হোসেন খান,124,ধানের শীষ,BNP,Barisal-6,Barisal,Barisal
Abdul Quddus,abdul_quddus_barisal_6.jpg,Bangladesh Muslim League,আবদুল কুদ্দুস,124,হারিকেন,,Barisal-6,Barisal,Barisal
Md. Salauddin Mia,md_salauddin_mia_barisal_6.jpg,GOP (Nuru),মোঃ সালাউদ্দিন মিয়া,124,ট্রাক,,Barisal-6,Barisal,Barisal
Md. Kamrul Islam Khan,md_kamrul_islam_khan_barisal_6.jpg,Independent,মোঃ কামরুল ইসলাম খান,124,ফুটবল,,Barisal-6,Barisal,Barisal
Mufti Syed Md. Faizul Karim,mufti_syed_md_faizul_karim_barisal_6.jpg,Islami Andolan Bangladesh,মুফতী সৈয়দ মোঃ ফয়জুল করিম,124,হাতপাখা,IAB,Barisal-6,Barisal,Barisal
Md. Mahmudunnabi,md_mahmudunnabi_barisal_6.jpg,Jamaat,মোঃ মাহমুদুন্নবী,124,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-6,Barisal,Barisal
Andalib Rahman,andalib_rahman_bhola_1.jpg,BJP,আন্দালিভ রহমান,115,গরুর গাড়ী,,Bhola-1,Bhola,Barisal
Md. Ainur Rahman Jewel Mia,md_ainur_rahman_jewel_mia_bhola_1.jpg,GOP (Nuru),মোঃ আইনুর রহমান (জুয়েল ) মিয়া,115,ট্রাক,,Bhola-1,Bhola,Barisal
Rafizul Hossain,rafizul_hossain_bhola_1.jpg,Independent,রফিজুল হোসেন,115,সূর্যমুখী ফুল,,Bhola-1,Bhola,Barisal
Md. Obaidul Rahman,md_obaidul_rahman_bhola_1.jpg,Islami Andolan Bangladesh,মোঃ ওবায়দুর রহমান,115,হাতপাখা,IAB,Bhola-1,Bhola,Barisal
Mohammad Ashraf Ali,mohammad_ashraf_ali_bhola_1.jpg,Islamic Front,মোহাম্মদ আশ্রাফ আলী,115,চেয়ার,,Bhola-1,Bhola,Barisal
Md. Akbar Hossain,md_akbar_hossain_bhola_1.jpg,JaPa,মোঃ আকবর হোসাইন,115,লাঙ্গল,JaPa,Bhola-1,Bhola,Barisal
Md. Nazrul Islam,md_nazrul_islam_bhola_1.jpg,Jamaat,মোঃ নজরুল ইসলাম,115,দাঁড়িপাল্লা,Jamaat-NCP,Bhola-1,Bhola,Barisal
Md. Mizanur Rahman,md_mizanur_rahman_bhola_1.jpg,NPP,মোঃ মিজানুর রহমান,115,আম,,Bhola-1,Bhola,Barisal
Md. Ala Uddin,md_ala_uddin_bhola_2.jpg,Amjanatar Dol,মোঃ আলা উদ্দিন,116,প্রজাপতি,,Bhola-2,Bhola,Barisal
Md. Hafiz Ibrahim,md_hafiz_ibrahim_bhola_2.jpg,BNP,মোঃ হাফিজ ইব্রাহিম,116,ধানের শীষ,BNP,Bhola-2,Bhola,Barisal
Md. Zakir Hossain Laskar,md_zakir_hossain_laskar_bhola_2.jpg,Independent,মোঃ জাকির হোসেন খন্দকার,116,মোটর সাইকেল,,Bhola-2,Bhola,Barisal
Mohibullah Khokon,mohibullah_khokon_bhola_2.jpg,Independent,মহিবুল্যাহ খোকন,116,হাঁস,,Bhola-2,Bhola,Barisal
Tashlima Begum,tashlima_begum_bhola_2.jpg,Independent,তাছলিমা বেগম,116,ফুটবল,,Bhola-2,Bhola,Barisal
Advocate Md. Jahangir Alam Rintu,advocate_md_jahangir_alam_rintu_bhola_2.jpg,JaPa,এডভোকেট মোঃ জাহাঙ্গীর আলম রিটু,116,লাঙ্গল,JaPa,Bhola-2,Bhola,Barisal
Mohammad Fazlul Karim,mohammad_fazlul_karim_bhola_2.jpg,Jamaat,মোহাম্মদ ফজলুল করিম,116,দাঁড়িপাল্লা,Jamaat-NCP,Bhola-2,Bhola,Barisal
Mokfar Uddin Chowdhury,mokfar_uddin_chowdhury_bhola_2.jpg,LDP,মোকফার উদ্দিন চৌধুরী,116,ছাতা,,Bhola-2,Bhola,Barisal
Hafiz Uddin Ahmed,hafiz_uddin_ahmed_bhola_3.jpg,BNP,হাফিজ উদ্দিন আহমদ,117,ধানের শীষ,BNP,Bhola-3,Bhola,Barisal
Md. Abu Tayyab,md_abu_tayyab_bhola_3.jpg,GOP (Nuru),মোঃ আবু তৈয়ব,117,ট্রাক,,Bhola-3,Bhola,Barisal
Md. Mosleh Uddin,md_mosleh_uddin_bhola_3.jpg,Islami Andolan Bangladesh,মোঃ মোসলেহ উদ্দীন,117,হাতপাখা,IAB,Bhola-3,Bhola,Barisal
Md. Kamal Uddin,md_kamal_uddin_bhola_3.jpg,JaPa,মোঃ কামাল উদ্দিন,117,লাঙ্গল,JaPa,Bhola-3,Bhola,Barisal
Md. Nizamul Haque,md_nizamul_haque_bhola_3.jpg,Jamaat,নিয়ামুল হক নাঈম,117,দাঁড়িপাল্লা,Jamaat-NCP,Bhola-3,Bhola,Barisal
Md. Jalal Uddin Rumi,md_jalal_uddin_rumi_bhola_4.jpg,Amjanatar Dol,মোঃ জালাল উদ্দীন রুমী,118,প্রজাপতি,,Bhola-4,Bhola,Barisal
Mohammad Nurul Islam,mohammad_nurul_islam_bhola_4.jpg,BNP,মোহাম্মদ নূরুল ইসলাম,118,ধানের শীষ,BNP,Bhola-4,Bhola,Barisal
Muhammad Rafiqul Islam,muhammad_rafiqul_islam_bhola_4.jpg,Independent,মুহাম্মাদ রফিকুল ইসলাম,118,ফুটবল,,Bhola-4,Bhola,Barisal
Abul Mukarram Md. Kamal Uddin,abul_mukarram_md_kamal_uddin_bhola_4.jpg,Islami Andolan Bangladesh,আবুল মোকাররম মোঃ কামাল উদ্দীন,118,হাতপাখা,IAB,Bhola-4,Bhola,Barisal
Md. Mizanur Rahman,md_mizanur_rahman_bhola_4.jpg,JaPa,মোঃ মিজানুর রহমান,118,লাঙ্গল,JaPa,Bhola-4,Bhola,Barisal
Mohammad Mustafa Kamal,mohammad_mustafa_kamal_bhola_4.jpg,Jamaat,মোহাম্মদ মোস্তফা কামাল,118,দাঁড়িপাল্লা,Jamaat-NCP,Bhola-4,Bhola,Barisal
Abul Kalam,abul_kalam_bhola_4.jpg,NDM,আবুল কালাম,118,সিংহ,,Bhola-4,Bhola,Barisal
Kazi Rafiqul Islam,kazi_rafiqul_islam_bogura_1.jpg,BNP,কাজী রফিকুল ইসলাম,36,ধানের শীষ,BNP,Bogra-1,Bogra,Rajshahi
Md. Asadul Haque,md_asadul_haque_bogura_1.jpg,Bangladesh Congress,মোঃ আসাদুল হক,36,ডাব,,Bogra-1,Bogra,Rajshahi
Md. Zulfiqar Ali,md_zulfiqar_ali_bogura_1.jpg,Gano Forum,মোঃ ‌জুলফিকার আলী,36,উদীয়মান সূর্য,,Bogra-1,Bogra,Rajshahi
A. B. M. Mustafa Kemal Pasha,a_b_m_mustafa_kemal_pasha_bogura_1.jpg,Islami Andolan Bangladesh,এ বি এম মোস্তফা কামাল পাশা,36,হাতপাখা,IAB,Bogra-1,Bogra,Rajshahi
Md. Shahabuddin,md_shahabuddin_bogura_1.jpg,Jamaat,মোঃ শাহাবুদ্দিন,36,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-1,Bogra,Rajshahi
Mir Shah Alam,mir_shah_alam_bogura_2.jpg,BNP,মীর শাহে আলম,37,ধানের শীষ,BNP,Bogra-2,Bogra,Rajshahi
Md. Selim Sarkar,md_selim_sarkar_bogura_2.jpg,GOP (Nuru),মোঃ সেলিম সরকার,37,ট্রাক,,Bogra-2,Bogra,Rajshahi
Md. Rezaul Karim Talu,md_rezaul_karim_talu_bogura_2.jpg,Independent,মোঃ রেজাউল করিম তালু,37,সিড়ি,,Bogra-2,Bogra,Rajshahi
Md. Jamal Uddin,md_jamal_uddin_bogura_2.jpg,Islami Andolan Bangladesh,মোঃ জামাল উদ্দীন,37,হাতপাখা,IAB,Bogra-2,Bogra,Rajshahi
Shariful Islam Jinnah,shariful_islam_jinnah_bogura_2.jpg,JaPa,শরিফুল ইসলাম জিন্নাহ,37,লাঙ্গল,JaPa,Bogra-2,Bogra,Rajshahi
Abul Azad Mohammad Shahaduzzaman,abul_azad_mohammad_shahaduzzaman_bogura_2.jpg,Jamaat,আবুল আজাদ মোহাম্মদ শাহাদুজ্জামান,37,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-2,Bogra,Rajshahi
Mahmudur Rahman Manna,mahmudur_rahman_manna_bogura_2.jpg,Nagorik Oikko,মাহমুদুর রহমান মান্না,37,কেটলি,BNP,Bogra-2,Bogra,Rajshahi
Md. Abdul Mohit Talukder,md_abdul_mohit_talukder_bogura_3.jpg,BNP,মোঃ আব্দুল মহিত তালুকদার,38,ধানের শীষ,BNP,Bogra-3,Bogra,Rajshahi
Md. Shahjahan Ali Talukder,md_shahjahan_ali_talukder_bogura_3.jpg,Islami Andolan Bangladesh,মোঃ শাহজাহান আলী তালুকদার,38,হাতপাখা,IAB,Bogra-3,Bogra,Rajshahi
Md. Shahinul Islam,md_shahinul_islam_bogura_3.jpg,JaPa,মোঃ শাহিনুল ইসলাম,38,লাঙ্গল,JaPa,Bogra-3,Bogra,Rajshahi
Md. Noor Mohammad,md_noor_mohammad_bogura_3.jpg,Jamaat,নূর মোহাম্মদ,38,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-3,Bogra,Rajshahi
Md. Mosharraf Hossain,md_mosharraf_hossain_bogura_4.jpg,BNP,মোঃ মোশারফ হোসেন,39,ধানের শীষ,BNP,Bogra-4,Bogra,Rajshahi
Md. Idris Ali,md_idris_ali_bogura_4.jpg,Islami Andolan Bangladesh,মুহাঃ ইদ্রিস আলী,39,হাতপাখা,IAB,Bogra-4,Bogra,Rajshahi
Shahin Mustafa Kamal,shahin_mustafa_kamal_bogura_4.jpg,JaPa,শাহিন মোস্তফা কামাল,39,লাঙ্গল,JaPa,Bogra-4,Bogra,Rajshahi
Md. Mustafa Faisal,md_mustafa_faisal_bogura_4.jpg,Jamaat,মোঃ মোস্তফা ফয়সাল,39,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-4,Bogra,Rajshahi
Gulam Mohammad Siraj,gulam_mohammad_siraj_bogura_5.jpg,BNP,গোলাম মোহাম্মদ সিরাজ,40,ধানের শীষ,BNP,Bogra-5,Bogra,Rajshahi
Shipan Kumar Ravidas,shipan_kumar_ravidas_bogura_5.jpg,CPB,শিপন কুমার রবিদাস,40,কাস্তে,,Bogra-5,Bogra,Rajshahi
Mir Md. Mahmudur Rahman,mir_md_mahmudur_rahman_bogura_5.jpg,Islami Andolan Bangladesh,মীর মোঃ মাহমুদুর রহমান,40,হাতপাখা,IAB,Bogra-5,Bogra,Rajshahi
Md. Dabibur Rahman,md_dabibur_rahman_bogura_5.jpg,Jamaat,মোঃ দবিবুর রহমান,40,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-5,Bogra,Rajshahi
Khan Qudrat-E-Saqlain,khan_qudrat_e_saqlain_bogura_5.jpg,LDP,খান কুদরত-ই- সাকলায়েন,40,ছাতা,,Bogra-5,Bogra,Rajshahi
Tarique Rahman,tarique_rahman_bogura_6.jpg,BNP,তারেক রহমান,41,ধানের শীষ,BNP,Bogra-6,Bogra,Rajshahi
Dilruba,dilruba_bogura_6.jpg,BaSaD,দিলরুবা,41,মই,,Bogra-6,Bogra,Rajshahi
Abu Numan Md. Mamunur Rashid,abu_numan_md_mamunur_rashid_bogura_6.jpg,Islami Andolan Bangladesh,আবু নুমান মোঃ মামুনুর রশিদ,41,হাতপাখা,IAB,Bogra-6,Bogra,Rajshahi
Abdullah Al-Waqi,abdullah_al_waqi_bogura_6.jpg,JSD,আবদুল্লাহ-আল-ওয়াকি,41,তারা,,Bogra-6,Bogra,Rajshahi
Md. Abidur Rahman,md_abidur_rahman_bogura_6.jpg,Jamaat,মোঃ আবিদুর রহমান,41,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-6,Bogra,Rajshahi
Morshed Milton,morshed_milton_bogura_7.jpg,BNP,মোরশেদ মিলটন,42,ধানের শীষ,BNP,Bogra-7,Bogra,Rajshahi
Md. Ansar Ali,md_ansar_ali_bogura_7.jpg,Bangladesh Muslim League,মোঃ আনছার আলী,42,হারিকেন,,Bogra-7,Bogra,Rajshahi
Md. Shafiqul Islam,md_shafiqul_islam_bogura_7.jpg,Islami Andolan Bangladesh,মোঃ শফিকুল ইসলাম,42,হাতপাখা,IAB,Bogra-7,Bogra,Rajshahi
Md. Golam Rabbani,md_golam_rabbani_bogura_7.jpg,Jamaat,মোঃ গোলাম রব্বানী,42,দাঁড়িপাল্লা,Jamaat-NCP,Bogra-7,Bogra,Rajshahi
M. A. Hannan,m_a_hannan_brahmanbaria_1.jpg,BNP,এম এ হান্নান,243,ধানের শীষ,BNP,Brahmanbaria-1,Brahmanbaria,Chittagong
Iqbal Chowdhury,iqbal_chowdhury_brahmanbaria_1.jpg,Independent,ইকবাল চৌধুরী,243,কলার ছড়ি,,Brahmanbaria-1,Brahmanbaria,Chittagong
Md. Habibur Rahman,md_habibur_rahman_brahmanbaria_1.jpg,Independent,মোঃ হাবিবুর রহমান,243,হাঁস,,Brahmanbaria-1,Brahmanbaria,Chittagong
S. A. K. Ekramuzzaman,s_a_k_ekramuzzaman_brahmanbaria_1.jpg,Independent,এ কে এম কামরুজ্জামান,243,ঘোড়া,,Brahmanbaria-1,Brahmanbaria,Chittagong
Md. Sharif Mridha,md_sharif_mridha_brahmanbaria_1.jpg,Insaniat Biplab Bangladesh,মোঃ শরীফ মৃধা,243,আপেল,,Brahmanbaria-1,Brahmanbaria,Chittagong
Hussain Ahmed,hussain_ahmed_brahmanbaria_1.jpg,Islami Andolan Bangladesh,হুসাইন আহমদ,243,হাতপাখা,IAB,Brahmanbaria-1,Brahmanbaria,Chittagong
Md. Shah Alam,md_shah_alam_brahmanbaria_1.jpg,JaPa,মোঃ শাহ আলম,243,লাঙ্গল,JaPa,Brahmanbaria-1,Brahmanbaria,Chittagong
A. K. M. Aminul Islam,a_k_m_aminul_islam_brahmanbaria_1.jpg,Jamaat,এ কে এম আমিনুল ইসলাম,243,দাঁড়িপাল্লা,Jamaat-NCP,Brahmanbaria-1,Brahmanbaria,Chittagong
Sharifa Akhter,sharifa_akhter_brahmanbaria_2.jpg,Amjanatar Dol,শরিফা আক্তার,244,প্রজাপতি,,Brahmanbaria-2,Brahmanbaria,Chittagong
Rumin Farhana,rumin_farhana_brahmanbaria_2.jpg,Independent,রুমিন ফারহানা,244,হাঁস,,Brahmanbaria-2,Brahmanbaria,Chittagong
SN Tarun Dey,sn_tarun_dey_brahmanbaria_2.jpg,Independent,এস এন তরুন দে,244,কলার ছড়ি,,Brahmanbaria-2,Brahmanbaria,Chittagong
Md. Main Uddin,md_main_uddin_brahmanbaria_2.jpg,Insaniat Biplab Bangladesh,মোঃ মাঈন উদ্দিন,244,আপেল,,Brahmanbaria-2,Brahmanbaria,Chittagong
Nesar Ahmad,nesar_ahmad_brahmanbaria_2.jpg,Islami Andolan Bangladesh,নেছার আহমাদ,244,হাতপাখা,IAB,Brahmanbaria-2,Brahmanbaria,Chittagong
Taimur Reza Md. Shahzad,taimur_reza_md_shahzad_brahmanbaria_2.jpg,JSD,তৈমুর রেজা মোঃ শাহজাদ,244,তারা,,Brahmanbaria-2,Brahmanbaria,Chittagong
