seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time,vote_pc
115,মোঃ নজরুল ইসলাম,75337,Jamaat,Jamaat-NCP,Bhola-1,Bhola,Barisal,Urban,406567.0,210087.0,196475.0,5.0,2026-02-14 14:42:37.115645+00:00,18.53
116,মোঃ হাফিজ ইব্রাহিম,119085,BNP,BNP,Bhola-2,Bhola,Barisal,Rural,395546.0,206433.0,189112.0,1.0,2026-02-14 14:42:37.115645+00:00,30.11
116,মোহাম্মদ ফজলুল করিম,93703,Jamaat,Jamaat-NCP,Bhola-2,Bhola,Barisal,Rural,395546.0,206433.0,189112.0,1.0,2026-02-14 14:42:37.115645+00:00,23.69
117,হাফিজ উদ্দিন আহমদ বীর বিক্রম,145990,BNP,BNP,Bhola-3,Bhola,Barisal,Rural,388550.0,200497.0,188050.0,3.0,2026-02-14 14:42:37.115645+00:00,37.57
117,মুহাঃ নিজামুল হক,57351,Bangladesh Development Party,Jamaat-NCP,Bhola-3,Bhola,Barisal,Rural,388550.0,200497.0,188050.0,3.0,2026-02-14 14:42:37.115645+00:00,14.76
118,মোহাম্মদ নূরুল ইসলাম,189351,BNP,BNP,Bhola-4,Bhola,Barisal,Rural,502026.0,262843.0,239176.0,7.0,2026-02-14 14:42:37.115645+00:00,37.72
118,মোহাম্মদ মোস্তফা কামাল,81437,Jamaat,Jamaat-NCP,Bhola-4,Bhola,Barisal,Rural,502026.0,262843.0,239176.0,7.0,2026-02-14 14:42:37.115645+00:00,16.22
36,কাজী রফিকুল ইসলাম,171440,BNP,BNP,Bogra-1,Bogra,Rajshahi,Rural,376019.0,186388.0,189626.0,5.0,2026-02-14 14:42:37.115645+00:00,45.59
36,মোঃ শাহাবুদ্দিন,57959,Jamaat,Jamaat-NCP,Bogra-1,Bogra,Rajshahi,Rural,376019.0,186388.0,189626.0,5.0,2026-02-14 14:42:37.115645+00:00,15.41
37,মীর শাহে আলম,145024,BNP,BNP,Bogra-2,Bogra,Rajshahi,Rural,342155.0,171497.0,170653.0,5.0,2026-02-14 14:42:37.115645+00:00,42.39
